carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep19_carrier;1;cepVehicleType0;19_v0;5121;x=4599402,5:y=5819343,25;28403;x=4598742,5:y=5819653,0;13136,0;13242,0;711,197329941633;106,0;
cep19_carrier;1;cepVehicleType0;19_v0;28403;x=4598742,5:y=5819653,0;3525;x=4597536,75:y=5819488,25;13362,0;13574,0;1417,5076600989953;212,0;
cep19_carrier;1;cepVehicleType0;19_v0;3525;x=4597536,75:y=5819488,25;5056;x=4597370,25:y=5818952,0;13694,0;13954,0;1735,2987808034397;260,0;
cep19_carrier;1;cepVehicleType0;19_v0;5056;x=4597370,25:y=5818952,0;28353;x=4596859,25:y=5819460,0;14074,0;14172,0;655,1929972144536;98,0;
cep19_carrier;1;cepVehicleType0;19_v0;28353;x=4596859,25:y=5819460,0;3403;x=4596040,5:y=5819817,5;14292,0;14383,0;613,0;91,0;
cep19_carrier;1;cepVehicleType0;19_v0;3403;x=4596040,5:y=5819817,5;3287;x=4595386,0:y=5819283,5;14503,0;14672,0;1132,0361752535578;169,0;
cep19_carrier;1;cepVehicleType0;19_v0;3287;x=4595386,0:y=5819283,5;3297;x=4595905,25:y=5818436,0;14792,0;14979,0;1249,056299167576;187,0;
cep19_carrier;1;cepVehicleType0;19_v0;3297;x=4595905,25:y=5818436,0;3379;x=4596715,25:y=5818660,75;15099,0;15364,0;1769,0;265,0;
cep19_carrier;1;cepVehicleType0;19_v0;3379;x=4596715,25:y=5818660,75;3408;x=4596269,25:y=5819344,25;15484,0;15584,0;668,5964998031092;100,0;
cep19_carrier;1;cepVehicleType0;19_v0;3408;x=4596269,25:y=5819344,25;3522;x=4596580,75:y=5820132,5;15704,0;15894,0;1269,6801316338126;190,0;
cep19_carrier;1;cepVehicleType0;19_v0;3522;x=4596580,75:y=5820132,5;28364;x=4597351,0:y=5821409,75;16014,0;16240,0;1512,6171394678454;226,0;
cep19_carrier;1;cepVehicleType0;19_v0;28364;x=4597351,0:y=5821409,75;4035;x=4595824,0:y=5822525,0;16360,0;16658,0;1990,27221131279;298,0;
cep19_carrier;1;cepVehicleType0;19_v0;4035;x=4595824,0:y=5822525,0;28328;x=4596288,75:y=5822940,75;16778,0;16888,0;734,0;110,0;
cep19_carrier;1;cepVehicleType0;19_v0;28328;x=4596288,75:y=5822940,75;4203;x=4596666,0:y=5823643,75;17008,0;17096,0;591,4308737573076;88,0;
cep19_carrier;1;cepVehicleType0;19_v0;4203;x=4596666,0:y=5823643,75;5357;x=4598089,5:y=5823881,0;17216,0;17422,0;1373,5709156993207;206,0;
cep19_carrier;1;cepVehicleType0;19_v0;5357;x=4598089,5:y=5823881,0;5408;x=4599877,75:y=5823451,5;17542,0;17914,0;2486,460494000761;372,0;
cep19_carrier;1;cepVehicleType0;19_v0;5408;x=4599877,75:y=5823451,5;5396;x=4598966,25:y=5822115,0;18034,0;18237,0;1357,0694537158233;203,0;
cep19_carrier;1;cepVehicleType0;19_v0;5396;x=4598966,25:y=5822115,0;5270;x=4597966,5:y=5820958,75;18357,0;18631,0;1828,861595288128;274,0;
cep19_carrier;1;cepVehicleType0;19_v0;5270;x=4597966,5:y=5820958,75;5323;x=4598544,5:y=5820962,5;18751,0;18798,0;315,176537832371;47,0;
cep21_carrier;1;cepVehicleType0;21_v0;5079;x=4599139,5:y=5816042,75;3434;x=4597544,5:y=5815791,0;10800,0;11031,0;1544,0;231,0;
