carrierID;carrierFleetSize;vehicleType;vehicle_Id;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep21_carrier;1;cepVehicleType0;21_v0;3367;x=4597067,25:y=5817389,25;3499;x=4597572,5:y=5817759,5;11561;11671;737,1796541;110;
cep21_carrier;1;cepVehicleType0;21_v0;3499;x=4597572,5:y=5817759,5;5032;x=4597884,25:y=5816877,25;11791;11893;685,9489108;102;
cep21_carrier;1;cepVehicleType0;21_v0;5032;x=4597884,25:y=5816877,25;5029;x=4598426,0:y=5816231,0;12013;12078;437;65;
cep21_carrier;1;cepVehicleType0;21_v0;5029;x=4598426,0:y=5816231,0;28050;x=4600883,0:y=5816046,75;12198;12587;2598,644999;389;
cep21_carrier;1;cepVehicleType0;21_v0;28050;x=4600883,0:y=5816046,75;28054;x=4601037,5:y=5815578,25;12707;12790;557,0344915;83;
cep21_carrier;1;cepVehicleType0;21_v0;28054;x=4601037,5:y=5815578,25;5721;x=4602969,0:y=5816165,25;12910;13301;2608,257376;391;
cep21_carrier;1;cepVehicleType0;21_v0;5721;x=4602969,0:y=5816165,25;4923;x=4599963,75:y=5815454,25;13421;13966;3634,400389;545;
cep21_carrier;1;cepVehicleType0;21_v0;4923;x=4599963,75:y=5815454,25;5079;x=4599139,5:y=5816042,75;14086;14160;497;74;
cep1_carrier;1;cepVehicleType0;1_v0;1564;x=4586121,75:y=5822785,0;403;x=4584171,0:y=5822191,5;10800;11556;5043,389912;756;
cep1_carrier;1;cepVehicleType0;1_v0;403;x=4584171,0:y=5822191,5;351;x=4583327,25:y=5820242,0;11676;12297;4145;621;
cep1_carrier;1;cepVehicleType0;1_v0;351;x=4583327,25:y=5820242,0;187;x=4580382,5:y=5820567,0;12417;13014;3984,051338;597;
cep1_carrier;1;cepVehicleType0;1_v0;187;x=4580382,5:y=5820567,0;207;x=4580219,5:y=5822360,5;13134;13431;1985;297;
cep1_carrier;1;cepVehicleType0;1_v0;207;x=4580219,5:y=5822360,5;441;x=4578904,5:y=5824419,5;13551;13966;2770,185643;415;
cep1_carrier;1;cepVehicleType0;1_v0;441;x=4578904,5:y=5824419,5;432;x=4578746,0:y=5824987,5;14086;14086;0;0;
cep1_carrier;1;cepVehicleType0;1_v0;432;x=4578746,0:y=5824987,5;432;x=4578746,0:y=5824987,5;14206;14206;0;0;
cep1_carrier;1;cepVehicleType0;1_v0;432;x=4578746,0:y=5824987,5;6594;x=4580706,25:y=5824847,25;14326;14787;3074,996833;461;
cep1_carrier;1;cepVehicleType0;1_v0;6594;x=4580706,25:y=5824847,25;6596;x=4581210,0:y=5824555,0;14907;15052;969,0550373;145;
cep1_carrier;1;cepVehicleType0;1_v0;6596;x=4581210,0:y=5824555,0;467;x=4582043,75:y=5825938,0;15172;15452;1868,140265;280;
cep1_carrier;1;cepVehicleType0;1_v0;467;x=4582043,75:y=5825938,0;469;x=4582078,0:y=5826292,0;15572;15572;0;0;
cep1_carrier;1;cepVehicleType0;1_v0;469;x=4582078,0:y=5826292,0;6572;x=4581678,0:y=5826347,5;15692;15692;0;0;
cep1_carrier;1;cepVehicleType0;1_v0;6572;x=4581678,0:y=5826347,5;333;x=4581702,5:y=5824375,5;15812;16135;2158,140265;323;
cep1_carrier;1;cepVehicleType0;1_v0;333;x=4581702,5:y=5824375,5;334;x=4581702,5:y=5824375,5;16255;16255;0;0;
cep1_carrier;1;cepVehicleType0;1_v0;334;x=4581702,5:y=5824375,5;1564;x=4586121,75:y=5822785,0;16375;17169;5298,778345;794;
cep18_carrier;1;cepVehicleType0;18_v0;2851;x=4597104,75:y=5814199,5;3348;x=4596887,5:y=5815651,5;10800;11152;2347,907254;352;
cep18_carrier;1;cepVehicleType0;18_v0;3348;x=4596887,5:y=5815651,5;3359;x=4597134,5:y=5815949,0;11272;11349;514,0226405;77;
