ID;X_GK4;Y_GK4
423;4594052,759;5821961,574
424;4594071,013;5820739,388
425;4594040,839;5820671,688
427;4594141,977;5821502,23
429;4594037,548;5823002,639
430;4594100,035;5821046,243
432;4594046,569;5821413,15
433;4594048,901;5821322,047
435;4594066,415;5822704,642
436;4594080,218;5822956,418
442;4594075,832;5821283,298
446;4594107,739;5820259,756
447;4594106,134;5821245,963
449;4594095,322;5821185,013
451;4594154,052;5822757,73
452;4594114,043;5821814,694
453;4594075,536;5821906,983
455;4594107,214;5820556,292
456;4594206,472;5820568,463
458;4594097,032;5820509,792
459;4594137,218;5821153,808
460;4594102,883;5821094,48
461;4594105,873;5822920,154
462;4594113,451;5820756,917
463;4594150,798;5823080,06
466;4594132,944;5822993,559
469;4594131,644;5822057,434
471;4594121,161;5821004,973
472;4594128,877;5822003,826
474;4594271,575;5822699,944
475;4594179,538;5822660,836
476;4594144,201;5822607,025
477;4594151,707;5822799,208
479;4594132,822;5821290,68
480;4594145,157;5820953,81
481;4594138,493;5820929,43
482;4594206,978;5821851,447
483;4594135,662;5821781,428
486;4594166,252;5821631,986
487;4594147,705;5821526,284
488;4594135,087;5821625,479
489;4594251,029;5822091,364
490;4594154,83;5822064,058
495;4594143,167;5820371,008
498;4594220,025;5820379,416
499;4594155,832;5820332,712
500;4594248,764;5821514,219
503;4594236,247;5820363,878
505;4594161,462;5821173,044
506;4594214,422;5821999,764
508;4594161,161;5821411,727
509;4594166,271;5820845,682
510;4594180,65;5821159,411
511;4594201,46;5822947,565
512;4594174,068;5822568,259
513;4594301,457;5821344,671
514;4594202,137;5821333,031
515;4594203,177;5822792,498
516;4594212,264;5822937,904
517;4594197,859;5820270,342
519;4594284,775;5821309,599
520;4594177,679;5821293,666
521;4594200,082;5821932,724
524;4594307,877;5821237,366
525;4594278,616;5821269,149
526;4594183,316;5821254,864
529;4594200,594;5820663,112
530;4594197,246;5820775,566
531;4594217,633;5822519,479
532;4594237,555;5821166,866
533;4594200,83;5821121,04
536;4594280,815;5821441,433
538;4594281,071;5822651,595
541;4594214,753;5821064,439
542;4594313,957;5821077,029
543;4594215,292;5821008,315
545;4594234,747;5822879,696
546;4594255,222;5823155,224
547;4594296,392;5820972,455
548;4594225,826;5820919,091
549;4594227,094;5821873,117
550;4594297,552;5820876,964
551;4594236,512;5820828,171
553;4594243,832;5822484,515
554;4594318,525;5822962,98
555;4594243,838;5821949,73
556;4594262,696;5821645,28
557;4594320,57;5820779,487
558;4594245,939;5820747,456
559;4594302,529;5822645,739
560;4594260,559;5822596,86
563;4594278,207;5822475,54
564;4594248,282;5822442,835
565;4594282,672;5821508,564
566;4594335,235;5820681,963
567;4594256,274;5820653,599
568;4594268,423;5822831,197
569;4594355,502;5822849,268
570;4594258,071;5822815,932
571;4594292,666;5822722,105
574;4594300,62;5822364,862
576;4594267,394;5822360,727
577;4594361,888;5822330,224
578;4594285,798;5822152,716
579;4594271,443;5822251,508
580;4594267,388;5822321,282
582;4594298,001;5821944,48
583;4594283,335;5822198
584;4594270,508;5822297,173
585;4594287,24;5820280,218
589;4594384,114;5823010,737
590;4594320,797;5823088,139
